hotel_names,prices,total_reviews,url,ratings
Hotel 50 Bowery NYC,$422,"1,636 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d10066892-Reviews-Hotel_50_Bowery_NYC-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
The James New York SoHo,"$387
$339","2,057 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1785018-Reviews-The_James_New_York_SoHo-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Hotel Mela,"$214
$193","5,315 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d612263-Reviews-Hotel_Mela-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
The Bryant Park Hotel,$189,"4,447 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d224214-Reviews-The_Bryant_Park_Hotel-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
The Manhattan at Times Square Hotel,"$405
$155","11,634 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93545-Reviews-The_Manhattan_at_Times_Square_Hotel-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
SponsoredFairfield Inn & Suites New York Manhattan/Times Square South,"$351
$299",119 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d15288816-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Times_Square_South-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
The Plaza,"$507
$305","3,123 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d675616-Reviews-The_Plaza-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Row NYC Hotel,$219,"25,525 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1938661-Reviews-Row_NYC_Hotel-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Courtyard New York Manhattan/Midtown East,$284,"2,771 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99371-Reviews-Courtyard_New_York_Manhattan_Midtown_East-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
1 Hotel Central Park,$305,"2,020 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d6883205-Reviews-1_Hotel_Central_Park-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
The Benjamin,$324,"3,394 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d217626-Reviews-The_Benjamin-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
SponsoredGrand Hyatt New York,$169,"11,796 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93450-Reviews-Grand_Hyatt_New_York-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Hotel Beacon,$462,"5,262 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93338-Reviews-Hotel_Beacon-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Hotel Mimosa New York,"$374
$356",401 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d1448670-Reviews-Hotel_Mimosa_New_York-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
The Time New York,$279,"1,381 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d112062-Reviews-The_Time_New_York-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Trump International Hotel and Tower New York,"$374
$292","1,772 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93623-Reviews-Trump_International_Hotel_and_Tower_New_York-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Hampton Inn Manhattan Grand Central,$305,"2,951 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d3572587-Reviews-Hampton_Inn_Manhattan_Grand_Central-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
SponsoredHotel Pennsylvania,$244,"2,082 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York.html#REVIEWS,3 of 5 bubbles
Omni Berkshire Place,$285,"4,903 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d113300-Reviews-Omni_Berkshire_Place-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Sofitel New York,$489,"7,580 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d208454-Reviews-Sofitel_New_York-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Ameritania at Times Square,$127,"7,140 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99332-Reviews-Ameritania_at_Times_Square-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Radio City Apartments,$254,"2,758 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1397856-Reviews-Radio_City_Apartments-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
The Roger,$194,"4,963 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d80110-Reviews-The_Roger-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
SponsoredWellington Hotel,$305,"8,450 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99307-Reviews-Wellington_Hotel-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
The Manhattan Club,"$386
$285","1,886 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99321-Reviews-The_Manhattan_Club-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
The Knickerbocker Hotel,$189,"5,931 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d7255276-Reviews-The_Knickerbocker_Hotel-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Lotte New York Palace,"$252
$179","5,601 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d126260-Reviews-Lotte_New_York_Palace-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Courtyard New York Manhattan/Times Square West,$590,"1,410 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d4274398-Reviews-Courtyard_New_York_Manhattan_Times_Square_West-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Sheraton Tribeca New York Hotel,"$207
$185","2,465 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
SponsoredThe Hotel @ New York City,$178,"1,839 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99388-Reviews-The_Hotel_New_York_City-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Parker New York,$169,841 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d93464-Reviews-Parker_New_York-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Gardens Suites Hotel by Affinia,$269,"2,312 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93467-Reviews-Gardens_Suites_Hotel_by_Affinia-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Warwick New York,$609,"5,158 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d112064-Reviews-Warwick_New_York-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
NoMo SoHo Hotel,$199,"1,799 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1786395-Reviews-NoMo_SoHo_Hotel-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Pod 51 Hotel,$143,"5,640 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
The Westin New York Grand Central,$359,"5,083 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93593-Reviews-The_Westin_New_York_Grand_Central-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Embassy Suites by Hilton New York Manhattan Times Square,"$311
$293",799 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Hampton Inn Manhattan/Times Square South,$399,"3,125 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1500405-Reviews-Hampton_Inn_Manhattan_Times_Square_South-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
"Club Quarters Hotel, World Trade Center","$326
$284","2,344 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1595302-Reviews-Club_Quarters_Hotel_World_Trade_Center-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Cassa Hotel NY 45th Street,$289,"2,825 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_NY_45th_Street-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
SponsoredGrand Hyatt New York,"$351
$299","11,796 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93450-Reviews-Grand_Hyatt_New_York-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Refinery Hotel,"$371
$339","5,568 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d3344640-Reviews-Refinery_Hotel-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
The Jewel facing Rockefeller Center,$349,"3,017 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1913413-Reviews-The_Jewel_facing_Rockefeller_Center-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Four Points by Sheraton Midtown - Times Square,$401,"2,651 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1464151-Reviews-Four_Points_by_Sheraton_Midtown_Times_Square-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Library Hotel by Library Hotel Collection,$335,"4,898 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d224221-Reviews-Library_Hotel_by_Library_Hotel_Collection-New_York_City_New_York.html#REVIEWS,5 of 5 bubbles
InterContinental New York Barclay,"$282
$233","2,478 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93462-Reviews-InterContinental_New_York_Barclay-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
SponsoredFairfield Inn & Suites New York Manhattan/Times Square South,$178,119 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d15288816-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Times_Square_South-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Hilton Garden Inn New York Times Square South,$283,687 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d12199886-Reviews-Hilton_Garden_Inn_New_York_Times_Square_South-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Residence Inn New York Manhattan/Central Park,"$214
$193","1,708 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d6023925-Reviews-Residence_Inn_New_York_Manhattan_Central_Park-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Fairfield by Marriott Inn & Suites New York Manhattan/Times Square,"$249
$197","2,354 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1390172-Reviews-Fairfield_by_Marriott_Inn_Suites_New_York_Manhattan_Times_Square-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Ink 48 Hotel,$152,"3,643 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1158753-Reviews-Ink_48_Hotel-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Renaissance New York Times Square Hotel,$169,"2,770 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93534-Reviews-Renaissance_New_York_Times_Square_Hotel-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
SponsoredWellington Hotel,$305,"8,450 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99307-Reviews-Wellington_Hotel-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
The Iroquois New York,"$209
$199","4,744 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93396-Reviews-The_Iroquois_New_York-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
The Gotham Hotel,$286,"1,155 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1963673-Reviews-The_Gotham_Hotel-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Holiday Inn Manhattan - Financial District,$265,"2,017 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d7014966-Reviews-Holiday_Inn_Manhattan_Financial_District-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Wyndham Garden Chinatown,"$359
$287","1,958 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
SIXTY LES,$184,"1,390 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1128769-Reviews-SIXTY_LES-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
SponsoredLibrary Hotel by Library Hotel Collection,$169,"4,898 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d224221-Reviews-Library_Hotel_by_Library_Hotel_Collection-New_York_City_New_York.html#REVIEWS,5 of 5 bubbles
The Roxy Hotel Tribeca,$143,"1,599 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d208455-Reviews-The_Roxy_Hotel_Tribeca-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
World Center Hotel,"$285
$248","1,377 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1553789-Reviews-World_Center_Hotel-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Shelburne Hotel & Suites by Affinia,"$193
$152","5,575 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93543-Reviews-Shelburne_Hotel_Suites_by_Affinia-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
